"","Species 1","Species 2","Species with highest g","High g i-value","High g e-value","High g s-value","Low g s-value","Low g i-value","Low g e-value","Does the species with the highest g have the highest s?","Does the species with the highest g have the highest i?","Does the species with the highest g have the highest e?","g for high g species divded by g for low g species","s for high g species divded by s for low g species","i for high g species divded by i for low g species","e for high g species divded by e for low g species","Number of species with high g and high s","Number of species with high g and high i","Number of species with high g and high e","Average g for g high divided by g for g low","Average s for g high divided by s for g low","Average i for g high divided by i for g low","Average e for g high divided by e for g low","Standard Error for average g","Standard Error for average s","Standard Error for average i","Standard Error for average e","e for Species with highest g","s for Species with highest g","i for Species with highest g","e for Species with lowest g","s for Species with lowest g","i for Species with lowest g","Change in g due to high i divided by low g","Change in g due to high s divided low g","Change in g due to high e divided by low g","Change in g due to high ie divided by low g","High ies","Low ies","High ies divided by Low ies","Change in g due to high i/low g","Change in g due to high s/low g","Change in g due to high e/low g","Change in g due to high ie/low g"
"11","Agathis_australis","Podocarpus_macrophyllus","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","1","1","1","1.1258735130855","1.19113466011889","1.09090909090909","1.31469808502122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","979.2786638","619.04","0.132","1.737256892276","1.70144010799465","1.23152703002694","1.35253040264859","1.4553238704186","1.58509695024787","0.918129247672214","1.0959940917206","1.07339813361484","0.776941139047902","0.853279291488816"
"12","Agathis_australis","Sequoia_sempervirens","Sequoia_sempervirens","3295.472578","0.090797546","821.8244381","3295.472578","0.090797546","821.8244381","1","0","0","1.71328155326204","4.46928580069437","0.630538513888889","0.63833216512234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821.8244381","3295.472578","0.090797546","1287.455784","737.36","0.144","0.895936084013128","2.35780730609021","2.17175113641058","1.36181450593104","2.23993748104792","1.4553238704186","1.5391333342204","0.615626598466655","1.62012549509823","1.49228029619683","0.935746697770673"
"13","Agathis_australis","Taxodium_distichum","Taxodium_distichum","839.5619768","0.150920245","809.012658","839.5619768","0.150920245","809.012658","1","1","0","1.4501382078153","1.13860526310079","1.04805725694444","0.628380926206628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809.012658","839.5619768","0.150920245","1287.455784","737.36","0.144","1.53008356465962","1.53422214461981","2.20157147078733","2.30880633383944","2.41691776413732","1.4553238704186","1.66074219853354","1.05136979868235","1.05421355054014","1.51277081035858","1.58645534562376"
"14","Agathis_australis","Zamia_integrifolia","Agathis_australis","737.36","0.144","1287.455784","737.36","0.144","1287.455784","0","1","1","1.31524903254081","0.797577068685776","2.14925373134328","1.3973018319762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1287.455784","737.36","0.144","921.3870293","924.5","0.067","2.13586557047036","0.899983751737482","0.725251850434657","1.59401875971841","1.4553238704186","0.994029257123028","1.46406542864812","2.14869487509059","0.905389600244024","0.729608153117867","1.60359340361058"
"15","Araucaria_araucana","Cycas_revoluta","Araucaria_araucana","1690.918971","0.066257669","1037.304057","1690.918971","0.066257669","1037.304057","1","1","1","1.12529911259133","1.20667662478301","1.40973763829787","1.21963334388608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037.304057","1690.918971","0.066257669","850.5048359","1401.3025","0.047","1.25744810657823","0.976513945376046","0.750351528636335","1.05081295677762","1.133807805664","0.902768794635492","1.25592268186651","1.39287945490622","1.08168774904357","0.831166886909623","1.1639890113857"
"16","Araucaria_araucana","Dioon_merolae","Araucaria_araucana","1690.918971","0.066257669","1037.304057","1690.918971","0.066257669","1037.304057","1","0","0","1.26101737456434","2.76068403428571","0.974377485294118","0.980951615028384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037.304057","1690.918971","0.066257669","1057.446709","612.5","0.068","0.717334842565218","1.142569314159","0.750469307258297","0.730704080673275","1.133807805664","0.736753714752441","1.53892377189435","0.973642654528389","1.55081581711865","1.01861625157936","0.991788797317163"
"17","Araucaria_araucana","Ginkgo_biloba","Ginkgo_biloba","1222.125","0.124","1675.960974","1222.125","0.124","1675.960974","0","1","1","2.76610346275785","0.722757873653308","1.87148147333707","1.61568921155776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1675.960974","1222.125","0.124","1037.304057","1690.918971","0.066257669","2.05029212816435","0.992435269004327","0.730614359324324","1.36662735990975","1.20353896033045","1.133807805664","1.06150174158098","1.80832423089874","0.875311727478467","0.64438995363632","1.20534305116148"
"18","Araucaria_araucana","Lepidozamia_hopei","Araucaria_araucana","1690.918971","0.066257669","1037.304057","1690.918971","0.066257669","1037.304057","0","1","0","1.27089049904018","0.709313795576959","1.44038410869565","0.745336472790657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037.304057","1690.918971","0.066257669","1391.725878","2383.88","0.046","0.998141011897609","0.605205897797168","0.918789902825775","1.29136436203073","1.133807805664","0.702658443722417","1.61359735415335","1.42052091000264","0.861308795481083","1.30759106509612","1.83782657643673"
"19","Araucaria_araucana","Lepidozamia_peroffskyana","Araucaria_araucana","1690.918971","0.066257669","1037.304057","1690.918971","0.066257669","1037.304057","0","1","0","1.25976322954262","0.76813167025539","1.44038410869565","0.782416496320712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1037.304057","1690.918971","0.066257669","1325.769666","2201.34","0.046","1.01023648623622","0.633570154958792","0.889708566324954","1.25440586848454","1.133807805664","0.710472708806722","1.59584990613967","1.42192159348805","0.891758609592348","1.25227690704583","1.76559331968062"
"20","Araucaria_araucana","Macrozamia_miquelii","Macrozamia_miquelii","1635.92","0.081","1266.039695","1635.92","0.081","1266.039695","0","1","1","1.22357034327697","0.967473916879959","1.22249999467986","1.22050973044637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1266.039695","1635.92","0.081","1037.304057","1690.918971","0.066257669","1.37382959962226","1.11898974116799","0.946695702209895","1.15176112238947","1.13676932758888","1.133807805664","1.00261201405572","1.21169530916899","0.986930708695079","0.834970175263058","1.01583453265693"
