"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"140",3,14,3,1,1,1.49657971282079,1.18095881161377,1.74186261173727,NA,NA,NA,NA,NA,NA,NA,NA
"141",3,15,3,1,1,1.36808949290755,1.03983353151011,1.70532699167658,NA,NA,NA,NA,NA,NA,NA,NA
"142",3,16,16,0,1,3.47199508849747,0.240423098913665,1.39269478029257,NA,NA,NA,NA,NA,NA,NA,NA
"143",3,17,17,0,1,2.57091469353373,0.743567753001715,1.81357988537004,NA,NA,NA,NA,NA,NA,NA,NA
"144",3,18,18,0,1,2.02307167600057,0.568257575757576,1.23520233373775,NA,NA,NA,NA,NA,NA,NA,NA
"145",3,19,3,1,1,1.52803526652919,1.24812451273012,2.01522187497224,NA,NA,NA,NA,NA,NA,NA,NA
"146",3,20,3,1,1,1.71232608155459,2.85551020408163,3.53703680868118,NA,NA,NA,NA,NA,NA,NA,NA
"147",3,21,21,0,1,1.33100911576709,0.901642538593482,1.03392009650114,NA,NA,NA,NA,NA,NA,NA,NA
"148",3,22,22,0,1,1.8963286062616,0.813366380789022,1.39908936604889,NA,NA,NA,NA,NA,NA,NA,NA
"149",3,23,23,0,1,1.51613881799711,0.924259462550029,1.19240742096529,NA,NA,NA,NA,NA,NA,NA,NA
"150",3,24,24,0,0,1.66071607104269,0.427271469411092,0.888047275097965,NA,NA,NA,NA,NA,NA,NA,NA
"151",3,25,25,0,1,1.67031450541101,0.908720526014866,1.30257330042254,NA,NA,NA,NA,NA,NA,NA,NA
"152",3,26,26,0,0,1.24955427123352,0.904213150371641,0.972029136510062,NA,NA,NA,NA,NA,NA,NA,NA
"153",3,27,27,0,1,2.03705623826826,0.698756432246998,1.34208345326249,NA,NA,NA,NA,NA,NA,NA,NA
"154",3,28,28,0,0,1.26636452439148,0.144725557461407,0.394112402208928,NA,NA,NA,NA,NA,NA,NA,NA
"155",3,29,3,1,1,6.92256819876906,1.60164835164835,8.2084478021978,NA,NA,NA,NA,NA,NA,NA,NA
"156",3,30,30,0,0,1.27682885315422,0.795431074899943,0.955479094674309,NA,NA,NA,NA,NA,NA,NA,NA
"157",3,31,31,0,0,1.11329175963797,0.399874213836478,0.575916398220586,NA,NA,NA,NA,NA,NA,NA,NA
"158",3,32,3,1,1,2.36580770793651,2.29980276134122,4.38567038209256,NA,NA,NA,NA,NA,NA,NA,NA
"159",3,33,3,0,1,1.72573272359412,0.733677869691427,1.80645860151804,NA,NA,NA,NA,NA,NA,NA,NA
"160",3,34,3,0,1,1.71062308738967,0.794516067486167,1.86908042420085,NA,NA,NA,NA,NA,NA,NA,NA
"161",3,35,3,1,1,1.10977888941891,1.0691231845078,1.40268961807423,NA,NA,NA,NA,NA,NA,NA,NA
"162",3,36,36,1,1,2.87706880129111,1.31973622412807,2.7038498249871,NA,NA,NA,NA,NA,NA,NA,NA
"163",3,37,3,1,1,1.00284604630575,3.97777238711661,2.48088030268425,NA,NA,NA,NA,NA,NA,NA,NA
"164",3,38,3,1,1,1.44641297332564,1.24975660472071,1.48645471021463,NA,NA,NA,NA,NA,NA,NA,NA
"165",3,39,39,0,0,1.3998976573988,0.596905331618067,0.889639135254989,NA,NA,NA,NA,NA,NA,NA,NA
"166",3,40,40,0,0,1.2260217564357,0.576532532875929,0.761231165544074,NA,NA,NA,NA,NA,NA,NA,NA
"167",3,41,3,0,1,8.77294935707348,0.793197278911565,1.66774812489098,NA,NA,NA,NA,NA,NA,NA,NA
"168",3,42,42,0,1,2.35837566379256,0.909365351629503,1.83980136384554,NA,NA,NA,NA,NA,NA,NA,NA
"169",3,43,43,0,1,1.67966426643147,0.896512292738708,1.3010361321452,NA,NA,NA,NA,NA,NA,NA,NA
"170",3,44,3,0,0,1.01729731492779,0.574950690335306,0.942919132149901,NA,NA,NA,NA,NA,NA,NA,NA
"171",3,45,3,1,1,2.34892959192006,2.1116940035859,4.1725038143143,NA,NA,NA,NA,NA,NA,NA,NA
"172",3,46,46,0,1,1.76806357639866,0.749126862778731,1.24415895145658,NA,NA,NA,NA,NA,NA,NA,NA
"173",3,47,3,1,1,1.14207320532462,2.65464562985224,2.27461799005103,NA,NA,NA,NA,NA,NA,NA,NA
"174",3,48,3,0,0,1.09256472105759,0.85233918128655,0.934842973913724,NA,NA,NA,NA,NA,NA,NA,NA
"175",3,49,3,0,1,2.01119956494054,0.567857142857143,1.50207373271889,NA,NA,NA,NA,NA,NA,NA,NA
"176",3,50,3,1,1,1.86915771305049,2.23657289002558,2.58308418284644,NA,NA,NA,NA,NA,NA,NA,NA
"177",3,51,51,0,1,1.32666759683056,0.864779874213837,1.00926138978371,NA,NA,NA,NA,NA,NA,NA,NA
"178",3,52,3,1,1,9.22037180043764,1.70443588248079,2.91893034623727,NA,NA,NA,NA,NA,NA,NA,NA
"179",3,53,53,0,0,1.06272922787038,0.673873642081189,0.778880691405542,NA,NA,NA,NA,NA,NA,NA,NA
"180",3,54,3,1,1,1.4382235546335,2.37580993520518,2.72418388476909,NA,NA,NA,NA,NA,NA,NA,NA
"181",3,55,3,0,1,1.06059119102996,0.783911219477213,1.14786999994878,NA,NA,NA,NA,NA,NA,NA,NA
"182",3,56,3,1,1,1.50790187782185,1.9390243902439,2.40909090909091,NA,NA,NA,NA,NA,NA,NA,NA
"183",3,57,3,1,1,1.10390265556053,2.51632047477745,1.71714641056379,NA,NA,NA,NA,NA,NA,NA,NA
"184",3,58,3,1,1,1.08640373508404,2.82534246575342,2.31886294387879,NA,NA,NA,NA,NA,NA,NA,NA
"185",3,59,3,1,1,1.51545436627364,12.1038062283737,6.4448838358873,NA,NA,NA,NA,NA,NA,NA,NA
"186",3,60,60,0,0,1.1795961536809,0.278284734133791,0.509057440488642,NA,NA,NA,NA,NA,NA,NA,NA
"187",3,61,61,0,1,1.32311949233493,0.867975271583762,1.3283510612336,NA,NA,NA,NA,NA,NA,NA,NA
"188",3,62,62,1,1,1.77552622379976,1.88420387535735,1.99379171791546,NA,NA,NA,NA,NA,NA,NA,NA
"189",3,63,63,0,0,1.50282270372185,0.480024000457404,0.962701754312569,NA,NA,NA,NA,NA,NA,NA,NA
"190",3,64,64,0,1,1.61720977958051,0.823327615780446,1.66673639292139,NA,NA,NA,NA,NA,NA,NA,NA
"191",3,65,65,0,0,1.22940132470745,0.378776443682104,0.618976139675633,NA,NA,NA,NA,NA,NA,NA,NA
"192",3,66,3,1,1,1.26914031186512,1.89183342347215,2.13384237585579,NA,NA,NA,NA,NA,NA,NA,NA
"193",4,5,4,1,1,1.11739869775649,1.43323872452334,1.33772679980276,NA,NA,NA,NA,NA,NA,NA,NA
"194",4,6,6,1,1,2.06768743703904,2.75379417044224,3.4312362965027,NA,NA,NA,NA,NA,NA,NA,NA
"195",4,7,7,1,1,1.1516358220915,1.15218093153344,1.22472812511402,NA,NA,NA,NA,NA,NA,NA,NA
"196",4,8,4,0,0,1.11964257778045,0.286121401918102,0.417263638728379,NA,NA,NA,NA,NA,NA,NA,NA
"197",4,9,4,1,1,4.18458686904155,1.17899194159005,4.54368281372669,NA,NA,NA,NA,NA,NA,NA,NA
"198",4,10,4,1,1,1.35666268583006,1.47821694965824,1.65132691839468,NA,NA,NA,NA,NA,NA,NA,NA
"199",4,11,4,0,1,1.90913057785955,0.64460690825143,1.44065867534404,NA,NA,NA,NA,NA,NA,NA,NA
"200",4,12,4,0,1,2.05737633289973,0.736969607843137,1.57224569689945,NA,NA,NA,NA,NA,NA,NA,NA
"201",4,13,4,0,1,1.52228085210525,0.925278480475382,1.30050611804654,NA,NA,NA,NA,NA,NA,NA,NA
"202",4,14,4,0,1,2.10411797307587,0.735974375422012,1.58156429265449,NA,NA,NA,NA,NA,NA,NA,NA
"203",4,15,4,0,1,1.92346700021567,0.648025,1.54839093460166,NA,NA,NA,NA,NA,NA,NA,NA
"204",4,16,16,0,1,2.46949908652834,0.385787585355503,1.53385036486989,NA,NA,NA,NA,NA,NA,NA,NA
"205",4,17,17,1,1,1.82859460494553,1.19314329311494,1.99739397911088,NA,NA,NA,NA,NA,NA,NA,NA
"206",4,18,18,0,1,1.43893454009084,0.91183716956502,1.36039538390011,NA,NA,NA,NA,NA,NA,NA,NA
"207",4,19,4,0,1,2.14834294508632,0.77783208836065,1.82976713419063,NA,NA,NA,NA,NA,NA,NA,NA
"208",4,20,4,1,1,2.40744682899296,1.779556,3.21153406745175,NA,NA,NA,NA,NA,NA,NA,NA
"209",4,21,4,0,0,1.05630467630284,0.691183798477691,0.87818492368368,NA,NA,NA,NA,NA,NA,NA,NA
"210",4,22,22,1,1,1.34878697738803,1.30514353018393,1.54089306929754,NA,NA,NA,NA,NA,NA,NA,NA
"211",4,23,23,1,1,1.07837232791545,1.48308472817411,1.31326302331438,NA,NA,NA,NA,NA,NA,NA,NA
"212",4,24,24,0,0,1.18120467220985,0.685608118438715,0.97805467228403,NA,NA,NA,NA,NA,NA,NA,NA
"213",4,25,25,1,1,1.18803167636754,1.45815064807956,1.43459468678642,NA,NA,NA,NA,NA,NA,NA,NA
"214",4,26,4,0,0,1.12516213625404,0.689218813548519,0.934100642600928,NA,NA,NA,NA,NA,NA,NA,NA
"215",4,27,27,1,1,1.44888123150754,1.12123817539261,1.47810936294316,NA,NA,NA,NA,NA,NA,NA,NA
"216",4,28,4,1,1,1.1102262627438,4.30608612345679,2.30384285283044,NA,NA,NA,NA,NA,NA,NA,NA
"217",4,29,4,0,1,9.73279274207139,0.998148397435897,7.45304931318681,NA,NA,NA,NA,NA,NA,NA,NA
"218",4,30,4,0,0,1.10112733567485,0.78347544414518,0.95028038405212,NA,NA,NA,NA,NA,NA,NA,NA
"219",4,31,4,1,1,1.26287753503508,1.55849187852098,1.57657091176123,NA,NA,NA,NA,NA,NA,NA,NA
"220",4,32,4,1,1,3.32621007519079,1.43323872452334,3.98207047383148,NA,NA,NA,NA,NA,NA,NA,NA
"221",4,33,4,0,1,2.4262959128288,0.45722857274695,1.64021570993478,NA,NA,NA,NA,NA,NA,NA,NA
"222",4,34,4,0,1,2.40505250238291,0.495142981093334,1.69707463671161,NA,NA,NA,NA,NA,NA,NA,NA
"223",4,35,4,0,1,1.56029490936052,0.666278332681305,1.27360435815932,NA,NA,NA,NA,NA,NA,NA,NA
