"","Species","data.type","A.A","B.B","C.sd","D.NA","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.sd","sterror.NA","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"21","Ficus concinna","Hao et al. 2010",237.158941032694,-69.8709580281904,50.9854755910491,NA,-278.224925620114,0.405474619342216,1.00000000246129,562.449851240227,562.949851240227,23.9960043560804,11.732287511396,4.99951023884297,NA,52,237.158941032694,0.6788484020414,1.6971210051035,2.7153936081656
"22","Ficus curtipes","Hao et al. 2010",312.664801140089,-156.721533114477,64.0899666435902,NA,-278.961317810571,0.583444735549547,0.999999995633987,563.922635621142,564.444374751577,27.5623926538733,18.7272302481857,6.40894489210426,NA,50,312.664801140089,0.399006817922976,0.997517044807439,1.5960272716919
"23","Ficus esquiroliana","Hao et al. 2010",406.155070838094,-174.621906772709,75.8808750480481,NA,-344.886192155006,0.616297460868664,0.99999999967396,695.772384310011,696.200955738583,29.7962251169412,17.7876923948463,6.92683484675107,NA,60,406.155070838094,0.46518226532339,1.16295566330848,1.86072906129356
"24","Ficus hispida","Hao et al. 2010",242.676940829533,-72.4927760122711,84.3347236154066,NA,-450.737380055352,0.349484252177181,0.999999998485411,907.474760110704,907.803527233991,22.023524094834,11.2706283479101,6.79579180561697,NA,77,242.676940829533,0.669520341691576,1.67380085422894,2.6780813667663
"25","Ficus racemosa","Hao et al. 2010",497.804009141263,-182.779805875361,93.8927496732205,NA,-405.354235634894,0.549057191923173,0.999999998202744,816.708471269787,817.083471269787,32.7502519360737,20.086977398543,8.0511828382153,NA,68,497.804009141263,0.544703510059224,1.36175877514806,2.1788140402369
"26","Ficus religosa","Hao et al. 2010",342.144073287028,-118.175245479304,74.1398627783546,NA,-343.493512062819,0.547334504292648,1.00000001223238,692.987024125638,693.41559555421,26.8144960342919,13.8742816570277,6.76790541368438,NA,60,342.144073287028,0.57904525080415,1.44761312701037,2.3161810032166
"27","Ficus semicordata","Hao et al. 2010",464.878498663793,-138.617673264333,100,NA,-290.005295510759,0.44345435612901,0.999999990580918,586.010591021518,586.568730556402,40.691691744842,19.9236669262943,8.59921435125908,NA,47,464.878498663793,0.670734817164772,1.67683704291193,2.68293926865909
"28","Ficus tinctoria","Hao et al. 2010",349.357338888538,-113.284242736385,87.4819490037245,NA,-288.628179163149,0.463443685249681,0.999999993988008,583.256358326299,583.789691659632,34.4240417947565,17.4121997178314,8.83692737271222,NA,49,349.357338888538,0.616780110719369,1.54195027679842,2.46712044287748
"29","Fraxinus excelsior","Li et al. 2015",201.577335583858,-48.7255251355957,55.7441960701752,NA,-212.148761411608,0.517984079868323,0.999999997330479,430.297522823216,430.98323710893,16.8358204347926,7.52654645462496,6.31176892668964,NA,39,201.577335583858,0.827399335452614,2.06849833863154,3.30959734181046
"30","Hedera canariensis","Guyot et al. 2012",160.805224068875,-71.0866735221213,49.6072289641152,NA,-207.599928870667,0.374803269507127,1.00000000052674,421.199857741335,421.885572027049,15.6586393187637,14.7012576634661,5.616868350605,NA,39,160.805224068875,0.452420168511148,1.13105042127787,1.80968067404459
"31","Hedera canariensis","Pan et al. 2017",152.1473764359,-47.485063141928,78.0824803760608,NA,-173.301127192109,0.314301622789942,0.999999991266502,352.602254384219,353.525331307295,21.6640528348168,12.8055500365399,10.0803104172866,NA,30,152.1473764359,0.640822045370971,1.60205511342743,2.56328818148388
"32","Helianthus annuus","Guyot et al. 2012",285.147971193015,-278.174532023617,100,NA,-200.75800057402,0.291970255931875,1.00000000794979,407.516001148041,408.373144005183,36.7982771133499,62.5412024563711,9.45254110258967,NA,32,285.147971193015,0.205013715036146,0.512534287590366,0.820054860144585
"33","Helianthus annuus","Pan et al. 2017",308.252480166552,-329.850425716284,100,NA,-180.126657314731,0.381747353679432,1.00000000511187,366.253314629462,367.213314629462,39.8212697699952,66.4910977837695,10.5079606139343,NA,29,308.252480166552,0.186904400379153,0.467261000947883,0.747617601516612
"34","Heteromeles arbutifolia","Pan et al. 2017",371.931452069323,-74.9540796285036,100,NA,-580.151828943929,0.393564612315871,0.999999999487323,1166.30365788786,1166.57638516059,20.8536636935906,7.75686221199618,5.42644233575348,NA,92,371.931452069323,0.992424839082099,2.48106209770525,3.9696993563284
"35","Hymenaea courbaril","Brodribb et al. 2003",578.987542673073,-169.146989612115,71.4314419155627,NA,-216.131713841418,0.729768210110675,1.00000000327212,438.263427682835,438.969310035776,41.2532169286102,16.6973212640583,8.19366877854079,NA,38,578.987542673073,0.684596922476478,1.7114923061912,2.73838768990591
"36","Lantana camara","Pan et al. 2017",343.938394487036,-222.661486493681,100,NA,-273.941303293545,0.271590663192946,1.00000000776954,553.88260658709,554.467972440749,49.7619790947307,51.2044655469318,9.66110437388503,NA,45,343.938394487036,0.308933888750264,0.77233472187566,1.23573555500106
