"","Species","data.type","A.A","B.B","C.Xo","D.sd","loglikeli","rsq","slope","AIC","AICcorr","sterror_1.A","sterror.B","sterror.Xo","sterror.sd","N","gmax","psi_gs20","psi_gs50","psi_gs80"
"25","Ficus racemosa","Hao et al. 2010",444.959266005673,3.40317918874692,1.41250771077576,87.2181850939674,-400.339895210501,0.610890840714025,1.00000000372129,808.679790421002,809.314711055923,"69.7761952274868","0.995515120965735","0.1681717413465","7.47880486760877",68,444.959266005673,0.939895955746966,1.41250771077576,2.12276478135853
"26","Ficus religosa","Hao et al. 2010",268.052008582794,10.7218989177745,1.5384710498659,52.7605714913425,-323.082161702652,0.770758716797511,0.999999997640294,654.164323405304,654.891596132577,"16.0385232851485","3.77042069336637","0.0430773199634986","4.81628295747175",60,268.052008582794,1.35187632493301,1.5384710498659,1.75082078709586
"27","Ficus semicordata","Hao et al. 2010",1121.4,2.60956086926532,0.882533882492347,84.747595726225,-275.354946839713,0.690723189030938,1.00057265460778,558.709893679426,559.662274631807,"997.912700473428","0.86032202975515","0.533619396927127","8.74756407342491",47,1121.4,0.518821833837885,0.882533882492347,1.50122065601115
"28","Ficus tinctoria","Hao et al. 2010",302.577389743153,8.03619265267702,1.59695981968016,72.057866772474,-279.123993514174,0.635966615670628,1.00000000950439,566.247987028347,567.157077937438,"89.1782463284893","9.54053640185179","0.147588094683237","7.27887476426268",49,302.577389743153,1.34392622268483,1.59695981968016,1.89763442562945
"29","Fraxinus excelsior","Li et al. 2015",263.971737918118,2.14477225994559,1.25822038085078,49.397436930687,-207.43464596797,0.621495624508537,0.999999999730659,422.869291935939,424.045762524175,"139.39412172255","1.10296951889786","0.727704505957889","5.59314206428559",39,263.971737918118,0.65924411760901,1.25822038085078,2.40141471801075
"30","Hedera canariensis","Guyot et al. 2012",130.044400356698,10.3867173816276,1.19721629078252,42.5032992023686,-201.572289163084,0.541042946464151,1.00000000376798,411.144578326167,412.321048914403,"8.93210688863103","5.29833444936998","0.0718271835494863","4.8125369471606",39,130.044400356698,1.04763066785384,1.19721629078252,1.36816045090713
"31","Hedera canariensis","Pan et al. 2017",203.827043203477,5.40740748062036,0.907440181551398,57.4803096871465,-164.111429500809,0.628409911191749,0.999999995285669,336.222859001618,337.822859001618,"33.1887706944403","2.59941158989768","0.0916748157992956","7.42055861123422",30,203.827043203477,0.702228006344048,0.907440181551398,1.17262153553386
"32","Helianthus annuus","Guyot et al. 2012",251.006441287589,3.6289513435917,0.49700279088453,100,-199.652634587595,0.324598246385489,1.0000000093779,407.30526917519,408.786750656672,"52.5707351641525","2.26102810400307","0.103962721564997","9.7457261142807",32,251.006441287589,0.339198679609272,0.49700279088453,0.72822150850218
"33","Helianthus annuus","Pan et al. 2017",251.369166484013,7.99589364579033,0.493227356478832,100,-177.395919947458,0.466468729969638,1.00000000174138,362.791839894917,364.458506561583,"35.1146966001836","8.22217426209207","0.0637620714851896","11.6105911035022",29,251.369166484013,0.414716207569505,0.493227356478832,0.586601682641797
"34","Heteromeles arbutifolia","Pan et al. 2017",430.449268401302,1.80800343653202,1.71208727753268,100,-571.436284848701,0.467040674955572,1.00000000439907,1150.8725696974,1151.33233981234,"63.0993403248353","0.454162469161292","0.385856431112118","5.89959322015241",92,430.449268401302,0.795295912165722,1.71208727753268,3.68572603109075
