species,data type,psi,gs
Encelia farinosa,1,2.138,254.7682745
Encelia farinosa,1,2.139,10.6682745
Encelia farinosa,1,2.21,2.968274498
Encelia farinosa,1,2.293,4.168274498
Encelia farinosa,1,2.443,22.7682745
Encelia farinosa,1,2.447,9.268274498
Encelia farinosa,1,2.483,2.468274498
Encelia farinosa,1,2.505,9.268274498
Encelia farinosa,1,2.51,6.668274498
Encelia farinosa,1,2.526,29.7682745
Encelia farinosa,1,2.706,11.4682745
Encelia farinosa,1,2.74,3.668274498
Encelia farinosa,1,4,242.7682745
Fraxinus dipetala,1,0.09,185.8858718
Fraxinus dipetala,1,0.112,119.8858718
Fraxinus dipetala,1,0.114,115.8858718
Fraxinus dipetala,1,0.148,140.8858718
Fraxinus dipetala,1,0.172,83.88587178
Fraxinus dipetala,1,0.183,114.8858718
Fraxinus dipetala,1,0.192,145.8858718
Fraxinus dipetala,1,0.207,154.8858718
Fraxinus dipetala,1,0.283,96.88587178
Fraxinus dipetala,1,0.3,102.8858718
Fraxinus dipetala,1,0.3,143.8858718
Fraxinus dipetala,1,0.345,90.88587178
Fraxinus dipetala,1,0.358,97.88587178
Fraxinus dipetala,1,0.496,13.08587178
Fraxinus dipetala,1,0.501,88.88587178
Fraxinus dipetala,1,0.504,23.88587178
Fraxinus dipetala,1,0.545,17.88587178
Fraxinus dipetala,1,0.563,43.88587178
Fraxinus dipetala,1,0.586,31.38587178
Fraxinus dipetala,1,0.613,16.28587178
Fraxinus dipetala,1,0.63,26.38587178
Fraxinus dipetala,1,0.632,29.88587178
Fraxinus dipetala,1,0.655,23.88587178
Fraxinus dipetala,1,0.745,36.38587178
Malosma laurina,1,0.106,7.393916681
Malosma laurina,1,0.156,157.3939167
Malosma laurina,1,0.16,2.593916681
Malosma laurina,1,0.169,33.89391668
Malosma laurina,1,0.193,128.3939167
Malosma laurina,1,0.202,121.3939167
Malosma laurina,1,0.227,36.89391668
Malosma laurina,1,0.247,31.89391668
Malosma laurina,1,0.263,26.89391668
Malosma laurina,1,0.365,120.3939167
Malosma laurina,1,0.3695,19.19391668
Malosma laurina,1,0.3755,75.39391668
Malosma laurina,1,0.4,2.993916681
Malosma laurina,1,0.412,-1.806083319
Malosma laurina,1,0.466,52.39391668
