species,s,f,g
Asperugo_procumbens,259.92,5.6740536,1.582650027
Asperula_glomerata,779.3352,6.240136946,1.005178705
Asperula_molluginoides,598.58,4.22836912,0.777182649
Asperula_odorata,578,4.2194,0.789220003
Asphodeline_lutea,884,22.7188,2.304014311
Asphodeline_prolifera,486.72,6.6534624,1.356186495
Aspidosperma_album,321.75,6.098925,1.535474977
Aspidosperma_excelsum,242.18,9.487045,2.778009893
Aspidosperma_megalocarpon,656.32625,14.30631344,2.432805636
Asplundia,128,1.4976,0.595253765
Aster_pyrenaeus,1160,10.208,0.95254433
Aster_tataricus,623.045,4.9718991,0.895723366
Aster_trinervius,651.605,6.65288705,1.172004423
Astilbe_rubra,1145.5925,9.08452215,1.436898708
Astracantha_aurea,164.5298,3.657497454,1.282251017
Astracantha_microcephala,211.3568,4.255035098,1.316152881
Astragalus_alopecurus,720,14.904,1.600984883
Astragalus_alyssoides,287.76005,3.827496425,1.014637357
Astragalus_bicolor,256.05845,4.062879426,1.141762257
Astragalus_glycyphyllos,492.66605,5.417355886,1.097545045
Astragalus_hamosus,286.0832,5.690194848,1.512837444
Astragalus_hirticalyx,189.15125,7.264732059,2.37534282
Astragalus_macrourus,202.60845,3.637226894,1.149087026
Astragalus_onobrychioides,282.50645,3.395727529,0.908510511
Astragalus_pinetorum,274.95125,4.795424751,1.300500537
Astragalus_schistosus,369.92,5.91095168,1.382021526
Astragalus_spinosus,158.42,4.404076,1.573479557
Astragalus_tanguticus,233.28,4.712256,1.38739916
Astragalus_tribuloides,213.4178,8.406527142,2.587692128
Astrocaryum_mexicanum,338,3.549,0.868078408
Astronium_lecointei,78.125,5.09375,2.591516125
Asyneuma_japonicum,538.3120833,7.641519139,1.505482096
Athertonia_diversifolia,216.32,5.775744,1.765919503
Athyrium_niponicum,1220.18,7.2966764,0.939343511
Atractylodes_lancea,638.865,6.56338545,1.180748803
Atraphaxis_spinosa,650.005225,10.07209885,1.503929248
Atriplex_canescens,43.4312,0.615420104,0.419934996
Atriplex_hymenelytra,56.8178,1.112492524,0.663691413
Atriplex_lentiformis,107.31125,0.715766038,0.310713244
Atriplex_rhagodioides,107.31125,1.215836463,0.527793262
Atriplex_semibaccata,80.01125,0.626488088,0.314955063
Aucuba_albopunctifolia,780.125,14.44011375,2.324876144
Aucuba_japonica,528.5964506,9.405383356,1.613109305
Austrobaileya_scandens,1958.995,14.116096,0.426572572
Austromuellera_trinervia,364.5,18.99045,4.47298863
Avena_sterilis,160.4736125,3.208830356,3.216566578
Avicennia_marina,73.8,1.19556,1.176350206
Avicennia_officinalis,459.3116,18.05737624,6.329873942
Baccharis_salicina,760.5,13.61295,2.620210934
Baccharis_sarothroides,354.8448,2.3064912,0.550609733
Baccharis_sordescens,307.0242,4.9123872,1.260716949
Bactris_mexicana,648,5.3136,0.938669399
Bactris_setulosa,312.5,3.21875,0.818791905
Baissea_myrtifolia,176,3.0272,0.763676964
Balanites_aegyptiaca,312.5,1.4375,0.365674054
Baliospermum_solanifolium,364.5,7.5816,1.785761295
Banara_nitida,450,18,3.815729264
Banksia_attenuata,418.487395,15.54381753,3.416864866
Banksia_grandis,508.805,8.649685,1.72439165
Banksia_ilicifolia,487.8151261,13.44566062,2.737573689
Banksia_littoralis,347.779684,14.31250708,3.130911121
Banksia_menziesii,573.5294118,16.57933762,3.113154202
Banksia_prionotes,379.4117647,13.07217004,3.017891324
Barringtonia_racemosa,185.4738,10.10034673,3.335080355
Bassia_prostrata,423.6669405,3.314346476,0.724097292
Bauhinia,50,2.73,1.736156815
Bauhinia_blakeana,80.645,4.76047435,2.383816442
Bauhinia_kunthiana,50,3.745,2.381651016
Beaucarnea_recurvata,133.1712,1.5314688,0.596780057
Beaufortia_decussata,335.101,7.4392422,1.047097166
Begonia_angularis,666,3.3966,0.606398553
Begonia_coccinea,1218,4.872,0.46525803
Begonia_decandra,612.5,16.5375,3.004886795
Begonia_grandis,729.62,4.6549756,0.774961894
Begonia_hydrocotylifolia,666,3.7296,0.665849391
Begonia_manicata,840,5.208,0.773539307
Begonia_quinquefolia,960,3.072,0.377632483
Beilschmiedia_curviramea,255.38,6.00143,1.688778177
Beilschmiedia_mexicana,40.5,2.8188,1.991810676
Beilschmiedia_tungfangensis,255.38,5.9478002,1.673686967
Bellendena_montana,911.645,11.669056,1.737937489
Bellevalia_fominii,616.005,4.106905335,0.74410441
Bentleya_diminuta,980,18.816,1.732466733
Bentleya_spinescens,800,12.08,1.260635211
Berberis_ferdinandi-coburgii,544.905,6.6866814,1.288113885
Berberis_haematocarpa,88.7112,1.806160032,0.862339551
Berberis_microphylla,471.55205,10.3741451,2.148319171
Berberis_montana,430.71125,11.026208,2.389155283
Berberis_trifoliolata,288,8.496,2.781033502
Berberis_vulgaris,593.2715781,10.07846313,1.665593203
Besleria_affinis,1458,6.4152,0.755514394
Besleria_disgrega,128,2.3424,0.93103794
Beta_vulgaris,419.4743959,7.436871771,1.617575721
Betula_albosinensis ,468.18,6.5732472,1.366107391
Betula_alleghaniensis,160.0925,2.670449,0.957207484
Betula_costata,220.5,4.78485,1.449023188
Betula_dahurica,525.785,6.430793225,1.253535428
Betula_ermanii,390.8546,9.346681476,2.57097199
Betula_fruticosa,262.205,10.6717435,2.963645121
Betula_lenta,324.5822325,8.557744237,1.933540875
Betula_luminifera,657.312,1.606470528,0.242716377
Betula_maximowicziana,197.6851852,14.14333032,3.281084457
Betula_nana,566.2625,10.6245355,2.461868316
Betula_nigra,338,9.126,2.232201619
Betula_papyrifera,737.665,8.221409097,1.423637936
Betula_pendula,942.2234921,12.58389247,1.588682157
Betula_platyphylla,476.79704,14.46506621,3.044419691
Betula_pubescens,629.63645,10.07511783,1.89699183
Bidens_pilosa,141.7928,7.11799856,2.688079514
