species,s,i,e,g
Meconopsis_integrifolia,873.62,0.234,2850.297679,1.30256278
Medicago_lupulina,168.9202333,0.284,1475.16437,1.734204932
Medicago_ruthenica,50,0.092,130.0293686,2.38483079
Meineckia_parvifolia,219.24,0.1494,839.6961486,0.942257762
Melilotus_indicus,364.1354,0.194,156.6706128,3.537827146
Melilotus_officinalis_subsp._alba,638.162,0.166,3830.052656,0.350873435
Micrococca_mercurialis,444.08,0.1705,1306.990121,0.957372429
Microcos_africana,280.5,0.312,5145.917117,0.340298635
Microcos_barombiensis,193.2,0.271,5238.781031,0.219363781
Microcos_iodocarpa,203,0.336,5168.361446,0.324943649
Microstachys_chamaelea,308.76,0.1693,573.9610353,1.449900713
Miltonia_clowesii,396.21125,0.07614924,904,0.787693711
Mimosa_pudica,324.367075,0.263,203.1308778,3.784922401
Momordica_charantia,200,0.29,511.9882083,4.375369556
Momordica_dioica,312.5,0.18,634.967167,2.480224021
Morus_alba,219.375,0.216666667,315.4033412,4.330902053
Mukia_maderaspatana,234.25,0.255,1053.589009,2.040143246
Musa_acuminata,505.62,0.082073985,719,1.183066858
Nandina_domestica,256.802225,0.170399145,541,2.114169984
Neptunia_oleracea,461.4822,0.245,197.1985418,7.246199908
Nothofagus_cunninghamii,607.0326727,0.092638037,141.3405837,5.563577364
Olea_capensis,131.7,0.148348615,1047.2,0.839587629
Olea_europaea,299.1726813,0.063685844,358,2.22495994
Olinia_ventosa,67.6,0.11817375,422.4,1.201763932
Origanum_vulgare,262.01525,0.24697729,988,2.032424408
Oxytropis_aciphylla,85.805,0.24,1211.293777,1.062203634
Oxytropis_biflora,196.02,0.199,986.4652767,1.511028788
Oxytropis_deflexa,228.98,0.228,2057.098873,0.945855689
Oxytropis_falcata,290.405,0.176,1568.446809,1.003886572
Oxytropis_microphylla,264.5,0.224,1359.767862,1.470009699
Oxytropis_ochrocephala,144.5,0.109,1511.503367,0.432449317
Oxytropis_pauciflora,283.22,0.258,1877.140608,1.331943895
Oxytropis_sericopetala ,278.48,0.185,1420.406781,1.148152935
Paeonia_clusii,1997.12,0.226955697,2994,1.647886278
Paeonia_delavayi,877.38605,0.161496915,1598,1.451888165
Paeonia_mascula,1347.8432,0.23102703,3887,1.155657203
Palaquium_cryptocariifolium,195.2288,0.063157895,727.8335654,0.571648646
Palaquium_dasyphyllum,288.72045,0.061290323,737.1944158,0.659876574
Paphiopedilum_appletonianum,4450.945,0.1515,8835.831312,0.3891448
Paphiopedilum_armeniacum,3414.286,0.1347,4810.594807,0.465464854
Paphiopedilum_bellatulum,2304.929,0.1681,4478.402195,0.463550937
Paphiopedilum_charlesworthii,2177.8146,0.1656,3159.922064,0.675747345
Paphiopedilum_concolor,2285.3812,0.1664,4871.159562,0.453181869
Paphiopedilum_dianthum,3951.423,0.1957,5403.112021,0.53609617
