species,s,alpha,g
Bactris_setulosa,312.5,9396.237864,0.818791905
Baissea_myrtifolia,176,5637.953488,0.763676964
Balanites_aegyptiaca,312.5,21426.63043,0.365674054
Baliospermum_solanifolium,364.5,4443.192308,1.785761295
Banara_nitida,450,2050,3.815729264
Banksia_attenuata,418.487395,2273.820297,3.416864866
Banksia_grandis,508.805,5373.547941,1.72439165
Banksia_ilicifolia,487.8151261,3140.233654,2.737573689
Banksia_littoralis,347.779684,2130.814905,3.130911121
Banksia_menziesii,573.5294118,2885.772914,3.113154202
Banksia_prionotes,379.4117647,2523.02726,3.017891324
Barringtonia_racemosa,185.4738,1650.837418,3.335080355
Bassia_prostrata,423.6669405,12359.15295,0.724097292
Bauhinia,50,1781.501832,1.736156815
Bauhinia_blakeana,80.645,1613.408871,2.383816442
Bauhinia_kunthiana,50,1285.113485,2.381651016
Beaucarnea_recurvata,133.1712,8562.480974,0.596780057
Beaufortia_decussata,335.101,4169.403505,1.047097166
Begonia_angularis,666,18941.84314,0.606398553
Begonia_coccinea,1218,23782,0.46525803
Begonia_decandra,612.5,3091.203704,3.004886795
Begonia_grandis,729.62,14944.36119,0.774961894
Begonia_hydrocotylifolia,666,17191.14286,0.665849391
Begonia_manicata,840,15289.03226,0.773539307
Begonia_quinquefolia,960,30290,0.377632483
Beilschmiedia_curviramea,255.38,4352.463137,1.688778177
Beilschmiedia_mexicana,40.5,1396.281609,1.991810676
Beilschmiedia_tungfangensis,255.38,4038.308278,1.673686967
Bellendena_montana,911.645,6900.855,1.737937489
Bellevalia_fominii,616.005,14383.24504,0.74410441
Bentleya_diminuta,980,4228.333333,1.732466733
Bentleya_spinescens,800,5822.516556,1.260635211
Berberis_ferdinandi-coburgii,544.905,7599.800146,1.288113885
Berberis_haematocarpa,88.7112,4822.880156,0.862339551
Berberis_microphylla,471.55205,4073.902495,2.148319171
Berberis_montana,430.71125,3475.53875,2.389155283
Berberis_trifoliolata,288,3101.830508,2.781033502
Berberis_vulgaris,593.2715781,5971.488539,1.665593203
Besleria_affinis,1458,21269.27273,0.755514394
Besleria_disgrega,128,5336.480874,0.93103794
Beta_vulgaris,419.4743959,5220.115569,1.617575721
Betula_albosinensis ,468.18,6654.327123,1.366107391
Betula_alleghaniensis,160.0925,5850.200788,0.957207484
Betula_costata,220.5,4387.794931,1.449023188
Betula_dahurica,525.785,7307.719246,1.253535428
Betula_ermanii,390.8546,3530.57621,2.57097199
Betula_fruticosa,262.205,2194.797457,2.963645121
Betula_lenta,324.5822325,3505.967297,1.933540875
Betula_luminifera,657.312,40259.21828,0.242716377
Betula_maximowicziana,197.6851852,1200.042088,3.281084457
Betula_nana,566.2625,4782.548243,2.461868316
Betula_nigra,338,3365.703704,2.232201619
Betula_papyrifera,737.665,8522.950086,1.423637936
Betula_pendula,942.2234921,8084.432555,1.588682157
Betula_platyphylla,476.79704,4054.220221,3.044419691
Betula_pubescens,629.63645,7705.219343,1.89699183
Bidens_pilosa,141.7928,1850.239073,2.688079514
Billardiera_cymosa,980,5471.612903,1.398605957
Billardiera_drummondii,630,3894.886878,1.824335157
Billardiera_floribunda,925,4724.717514,1.832047829
Billardiera_heterophylla,1125.75,5780.522023,1.383337466
Billardiera_longiflora,1248,6688.507937,1.250684206
Billardiera_mollis,1540,13844.61538,0.739449649
Billardiera_procumbens,1320,6142.686567,1.642469449
Billardiera_scandens,800,4576.344086,1.552835426
Billardiera_variifolia,567.7,2513.39834,2.115387623
Bischofia_javanica,558.08,6794.861176,0.869309873
Bischofia_polycarpa,280.845,2884.713721,2.380643027
Blakea_monticola,113,2367.591946,1.935210692
Blastus_cochinchinensis,622.3392,1877.6608,2.583770255
Blastus_pauciflorus,224.72,4253.56034,1.505292475
Blastus_tsaii,172.98,5324.546113,1.075825787
Blepharocalyx_eggersii,200.25,2183.488679,2.688181266
Blysmus_sinocompressus,655.22,5368.876386,1.910790024
Boehmeria_glomerulifera,142.805,7694.185596,0.685699268
Boehmeria_macrophylla,280.845,4943.815397,1.442402898
Borago_officinalis,184.32,22037.90222,0.274732507
Borago_pygmaea,325.125,33008.20833,0.243252741
Boronia_crenulata,825,2390.434084,2.240472035
Bouvardia_ternifolia,1261.52645,15979.85286,0.926376391
Bowringia_callicarpa,228.98,5366.990901,1.216002961
Brabejum_stellatifolium,383.645,3200.584391,2.457425039
Brachionidium_parvum,760.5,25906.16667,0.465042004
Brachybotrys_paridiformis,224.72,8026.105083,0.81702395
Brachybotrys_paridiformis ,223.66125,8024.441686,0.815366016
Brachysema_sericeum,298.025,7220.771992,0.461523671
Brachysiphon_acutus,1620,6131.937984,1.496572825
Brachysiphon_fucatus,1295.1,8761.25445,1.031693538
Brachysiphon_mundii,859.18,14765.82,0.525145905
Brachysiphon_rupestris,1056,9090.103896,0.818078468
Brasenia_scherberi,642.6,3233.368992,0.319028812
Brassica,257.645,3356.812831,1.997004307
Brassica_nigra,292.82,1979.907273,3.385823767
Brassica_oleracea,316.75,4172.789382,1.869111132
Brassica_rapa,220.5,2800.648036,2.210261176
Brewcaria_hohenbergioides,768,2740.77193,2.427771469
Brexia_madagascariensis,754,4863.977528,1.254408331
Breynia_cernua,425,10444.56522,0.641514054
Breynia_fruticosa,168.3625,5328.211463,1.066817486
Breynia_vitis-idaea,308,2959.973856,1.608213939
Bridelia_montana,144.5,1871.629032,2.681185763
Bridelia_retusa,141.9725,2858.929883,2.023072628
Brosimum,162,2389.020408,2.243648807
Brownea_coccinea,162,1718.34188,3.147976643
Bruguiera_gymnorhiza,441.4172781,5920.329264,1.50027923
Brunellia_comocladifolia,112.5,1582.415254,2.814100332
